Total_Requests,Total_Tests,Avg_DPL,Avg_Duration,Total_Paperwork,Timestamp,File_Name
10069,54437,46.09,75.2,31468,15-05-26 0:28,
10069,54437,46.09,75.2,31468,15-05-26 19:37,
10069,54437,46.09,75.2,31468,15-05-26 21:37,
10074,54447,46.13,75.2,31483,15-05-26 21:39,
10069,54437,46.09,75.2,31468,15-05-26 21:40,
10069,54437,46.09,75.2,31468,16-05-26 17:58,C01.csv
10069,54437,46.09,75.2,31468,16-05-26 17:59,C01.csv
10491,58516,46.16,76.2,33705,2026-05-16 18:11:57,C01.csv
11430,63181,46.45,79.0,36773,2026-05-17 19:24:11,C01.csv
12278,67654,46.3,78.1,40081,2026-05-18 19:07:14,C01.csv
1500,7562,99.28,3.5,3030,2026-05-19 15:52:55,anonymized_project_log.csv
1048,3357,49.45,7.8,2568,2026-05-19 17:06:48,MARINA C .csv
1048,3357,49.45,7.8,2568,2026-05-19 17:06:50,MARINA C .csv
12434,68825,46.25,76.7,40798,2026-05-19 18:54:22,C01.csv
4104,16719,52.14,9.7,11807,2026-05-19 19:04:06,G01.csv
4104,16719,52.14,9.7,11807,2026-05-19 19:04:15,G01.csv
4615,19000,52.08,8.4,13196,2026-05-19 19:17:35,G01.csv
7963,37265,44.28,17.2,21525,2026-05-23 13:07:08,K 73 G1 SUBMITTALS LOG .csv
7963,37265,44.28,17.2,21525,2026-05-23 13:07:14,K 73 G1 SUBMITTALS LOG .csv
4906,20244,52.04,8.3,14021,2026-05-23 13:11:16,G01.csv
12982,71927,46.23,78.1,42708,2026-05-23 13:13:07,C01.csv
5011,20631,51.96,8.2,14342,2026-06-03 14:55:06,G01.csv
5160,21287,51.89,8.1,14745,2026-06-04 15:52:09,G01.csv
5246,21775,51.87,8.0,14917,2026-06-04 17:26:39,G01.csv
5268,21864,51.86,8.0,14964,2026-06-06 16:01:05,G01.csv
